scene_id,video_name,start_time,end_time,duration,frame_count,rep_frame_path,method
16,gacs_advertisements_00_-avONMmQ.mp4,128,136,8,18,data\scenes\gacs_advertisements_00_-avONMmQ_scene_16.jpg,fixed_8s
13,gacs_advertisements_01_jBnseji3.mp4,104,112,8,17,data\scenes\gacs_advertisements_01_jBnseji3_scene_13.jpg,fixed_8s
14,gacs_advertisements_01_jBnseji3.mp4,112,120,8,17,data\scenes\gacs_advertisements_01_jBnseji3_scene_14.jpg,fixed_8s
15,gacs_animations_00_WIPV1iwz.mp4,128,136,8,18,data\scenes\gacs_animations_00_WIPV1iwz_scene_15.jpg,fixed_8s
16,gacs_animations_00_WIPV1iwz.mp4,136,144,8,17,data\scenes\gacs_animations_00_WIPV1iwz_scene_16.jpg,fixed_8s
17,gacs_animations_00_WIPV1iwz.mp4,144,152,8,18,data\scenes\gacs_animations_00_WIPV1iwz_scene_17.jpg,fixed_8s
18,gacs_animations_00_WIPV1iwz.mp4,152,160,8,17,data\scenes\gacs_animations_00_WIPV1iwz_scene_18.jpg,fixed_8s
19,gacs_animations_00_WIPV1iwz.mp4,160,168,8,18,data\scenes\gacs_animations_00_WIPV1iwz_scene_19.jpg,fixed_8s
20,gacs_animations_00_WIPV1iwz.mp4,168,176,8,17,data\scenes\gacs_animations_00_WIPV1iwz_scene_20.jpg,fixed_8s
21,gacs_animations_00_WIPV1iwz.mp4,192,200,8,17,data\scenes\gacs_animations_00_WIPV1iwz_scene_21.jpg,fixed_8s
16,gacs_animations_02_qLGNj-xr.mp4,128,136,8,16,data\scenes\gacs_animations_02_qLGNj-xr_scene_16.jpg,fixed_8s
17,gacs_animations_02_qLGNj-xr.mp4,136,144,8,16,data\scenes\gacs_animations_02_qLGNj-xr_scene_17.jpg,fixed_8s
18,gacs_animations_02_qLGNj-xr.mp4,144,152,8,16,data\scenes\gacs_animations_02_qLGNj-xr_scene_18.jpg,fixed_8s
19,gacs_animations_02_qLGNj-xr.mp4,152,160,8,16,data\scenes\gacs_animations_02_qLGNj-xr_scene_19.jpg,fixed_8s
15,gacs_emotional_shorts_00_WAmw-erI.mp4,120,128,8,17,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_15.jpg,fixed_8s
16,gacs_emotional_shorts_00_WAmw-erI.mp4,128,136,8,17,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_16.jpg,fixed_8s
17,gacs_emotional_shorts_00_WAmw-erI.mp4,136,144,8,16,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_17.jpg,fixed_8s
18,gacs_emotional_shorts_00_WAmw-erI.mp4,144,152,8,17,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_18.jpg,fixed_8s
19,gacs_emotional_shorts_00_WAmw-erI.mp4,152,160,8,17,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_19.jpg,fixed_8s
20,gacs_emotional_shorts_00_WAmw-erI.mp4,160,168,8,16,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_20.jpg,fixed_8s
21,gacs_emotional_shorts_00_WAmw-erI.mp4,168,176,8,17,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_21.jpg,fixed_8s
22,gacs_emotional_shorts_00_WAmw-erI.mp4,176,184,8,17,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_22.jpg,fixed_8s
23,gacs_emotional_shorts_00_WAmw-erI.mp4,184,192,8,16,data\scenes\gacs_emotional_shorts_00_WAmw-erI_scene_23.jpg,fixed_8s
